"rota","tipo_dia","id_parada","horario_medio","horario_anterior","horario_posterior","inicio_viagem","fim_viagem"
"507","FRI",29887,"16:45:48","16:43:43","16:47:53","16:44:19","17:04:15"
"507","FRI",31453,"16:46:57","16:45:08","16:48:47","16:44:19","17:04:15"
"507","FRI",31454,"16:48:23","16:46:44","16:50:03","16:44:19","17:04:15"
"507","FRI",35196,"16:49:36","16:48:09","16:51:04","16:44:19","17:04:15"
"507","FRI",35199,"16:50:39","16:49:22","16:51:57","16:44:19","17:04:15"
"507","FRI",35214,"16:52:15","16:51:13","16:53:17","16:44:19","17:04:15"
"507","FRI",35216,"16:53:30","16:52:40","16:54:20","16:44:19","17:04:15"
"507","FRI",26360,"16:54:17","16:42:06","17:05:06","16:44:19","17:04:15"
"507","FRI",26166,"16:56:30","16:56:09","16:56:51","16:44:19","17:04:15"
"507","FRI",35219,"16:58:19","16:58:15","16:58:23","16:44:19","17:04:15"
